,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,MAE
218,500,,2,1,,16413.354723287674
219,500,,2,2,sqrt,17454.24522708937
220,500,,2,2,log2,19958.53829975411
221,500,,2,2,,16466.027563447693
222,500,,2,4,sqrt,18451.823320972544
223,500,,2,4,log2,21895.077251859657
224,500,,2,4,,16824.0138640409
225,500,,5,1,sqrt,17107.035142910077
226,500,,5,1,log2,18849.460233957794
227,500,,5,1,,16470.64601305725
228,500,,5,2,sqrt,17514.466531898714
229,500,,5,2,log2,20087.091939303275
230,500,,5,2,,16527.06684237313
231,500,,5,4,sqrt,18451.82332097254
232,500,,5,4,log2,21895.077251859653
233,500,,5,4,,16824.0138640409
234,500,,10,1,sqrt,17507.27221974269
235,500,,10,1,log2,19695.185928524563
236,500,,10,1,,16659.063488743777
237,500,,10,2,sqrt,17929.982240351073
238,500,,10,2,log2,20420.3160959637
239,500,,10,2,,16734.536636867364
240,500,,10,4,sqrt,18550.8146047795
241,500,,10,4,log2,21787.733737302573
242,500,,10,4,,16926.42266597994
